Start Time, End Time, Audio Tags
0.0,0.975,Music=0.9&Television=0.1
0.4,1.375,Music=1.0&Sad music=0.1
0.8,1.775,Music=1.0&Sad music=0.1
1.2000000000000002,2.1750000000000003,Music=1.0
1.6,2.575,Music=0.8
2.0,2.975,Music=0.3&Silence=0.1
2.4000000000000004,3.3750000000000004,Music=0.1&Silence=0.4
2.8000000000000003,3.7750000000000004,Silence=0.5
3.2,4.175,Silence=1.0
3.6,4.575,Silence=1.0
4.0,4.975,Silence=1.0
4.4,5.375,Percussion=0.1&Silence=0.8
4.800000000000001,5.775,Music=0.1&Sonar=0.2&Sine wave=0.1&Sound effect=0.1
5.2,6.175,Music=0.2&Sonar=0.2&Sine wave=0.1&Chirp tone=0.1
5.6000000000000005,6.575,Music=0.2&Sonar=0.1&Chirp tone=0.1
6.0,6.975,Music=0.1&Sonar=0.1&Sine wave=0.1&Chirp tone=0.2&Sound effect=0.1
6.4,7.375,Music=0.1&Sonar=0.1&Sound effect=0.1
6.800000000000001,7.775,Music=0.2&Sonar=0.1&Sine wave=0.1&Sound effect=0.1
7.2,8.175,Heart sounds| heartbeat=0.1&Heart murmur=0.1&Music=0.1&Sonar=0.1&Sound effect=0.1
7.6000000000000005,8.575000000000001,Animal=0.1&Livestock| farm animals| working animals=0.1&Fowl=0.1&Turkey=0.6&Gobble=0.4&Alarm=0.1&Telephone=0.1&Sound effect=0.1
8.0,8.975,Music=0.3&Sonar=0.1
8.4,9.375,Whale vocalization=0.1&Music=0.1
8.8,9.775,Outside| rural or natural=0.1
9.200000000000001,10.175,Heart sounds| heartbeat=0.1&Heart murmur=0.1&Music=0.1&Sonar=0.4&Arrow=0.1&Whoosh| swoosh| swish=0.2&Sound effect=0.1&Outside| rural or natural=0.1&White noise=0.1
9.600000000000001,10.575000000000001,Water=0.2&Stream=0.2&Ocean=0.1&Gurgling=0.3&Vehicle=0.1&Boat| Water vehicle=0.3&Rowboat| canoe| kayak=0.2&Liquid=0.1&Pour=0.1&Trickle| dribble=0.1&Outside| rural or natural=0.1
10.0,10.975,Water=0.2&Stream=0.2&Gurgling=0.2&Vehicle=0.2&Boat| Water vehicle=0.5&Rowboat| canoe| kayak=0.5
10.4,11.375,Water=0.1&Stream=0.1&Gurgling=0.1&Vehicle=0.5&Boat| Water vehicle=0.7&Rowboat| canoe| kayak=0.8
10.8,11.775,Water=0.2&Stream=0.2&Gurgling=0.2&Vehicle=0.2&Boat| Water vehicle=0.6&Rowboat| canoe| kayak=0.6&Liquid=0.1&Pour=0.1&Trickle| dribble=0.1
11.200000000000001,12.175,Water=0.2&Stream=0.3&Gurgling=0.2&Boat| Water vehicle=0.2&Rowboat| canoe| kayak=0.2&Liquid=0.1&Pour=0.2&Trickle| dribble=0.1
11.600000000000001,12.575000000000001,Water=0.3&Stream=0.2&Gurgling=0.3&Vehicle=0.1&Boat| Water vehicle=0.4&Rowboat| canoe| kayak=0.4&Liquid=0.1&Pour=0.2&Trickle| dribble=0.1
12.0,12.975,Water=0.2&Stream=0.1&Gurgling=0.2&Vehicle=0.2&Boat| Water vehicle=0.6&Rowboat| canoe| kayak=0.4&Liquid=0.1&Pour=0.2&Trickle| dribble=0.1
12.4,13.375,Whale vocalization=0.4&Water=0.1&Gurgling=0.2
12.8,13.775,Water=0.2&Stream=0.1&Gurgling=0.2&Vehicle=0.1&Boat| Water vehicle=0.3&Rowboat| canoe| kayak=0.1&Pour=0.1
13.200000000000001,14.175,Water=0.3&Stream=0.2&Gurgling=0.2&Vehicle=0.1&Boat| Water vehicle=0.4&Sailboat| sailing ship=0.1&Rowboat| canoe| kayak=0.2&Liquid=0.1&Pour=0.2&Trickle| dribble=0.2&Outside| rural or natural=0.1
13.600000000000001,14.575000000000001,Music=0.1&Alarm=0.1&Siren=0.1&Civil defense siren=0.1
14.0,14.975,Whale vocalization=0.1&Water=0.2&Stream=0.1&Gurgling=0.3&Liquid=0.1&Pour=0.1
14.4,15.375,Water=0.3&Stream=0.2&Gurgling=0.2&Liquid=0.4&Drip=0.1&Pour=0.5&Trickle| dribble=0.4
14.8,15.775,Water=0.1&Mechanisms=0.1&Clock=0.2&Tick=0.1&Tick-tock=0.1
15.200000000000001,16.175,Whale vocalization=0.1&Music=0.1&Water=0.1&Gurgling=0.1&Liquid=0.1
15.600000000000001,16.575000000000003,Whale vocalization=0.1&Music=0.1&Water=0.2&Gurgling=0.1&Water tap| faucet=0.1&Sink (filling or washing)=0.1&Liquid=0.1
16.0,16.975,Water=0.1&Gurgling=0.1&Liquid=0.1&Inside| small room=0.1
16.400000000000002,17.375000000000004,Music=0.1&Water=0.1&Stream=0.1&Ocean=0.1&Gurgling=0.1&Vehicle=0.1&Boat| Water vehicle=0.2&Rowboat| canoe| kayak=0.1&Liquid=0.1&Pour=0.2&Trickle| dribble=0.1
16.8,17.775000000000002,Water=0.2&Stream=0.1&Gurgling=0.1&Vehicle=0.1&Boat| Water vehicle=0.3&Rowboat| canoe| kayak=0.2&Liquid=0.1&Pour=0.1&Trickle| dribble=0.1
17.2,18.175,Water=0.2&Stream=0.1&Gurgling=0.1&Vehicle=0.2&Boat| Water vehicle=0.6&Sailboat| sailing ship=0.1&Rowboat| canoe| kayak=0.3&Motorboat| speedboat=0.1
17.6,18.575000000000003,Music=0.1&Water=0.1&Gurgling=0.1&Boat| Water vehicle=0.2&Motorboat| speedboat=0.1
18.0,18.975,Speech=0.8
18.400000000000002,19.375000000000004,Speech=1.0
18.8,19.775000000000002,Speech=1.0&Narration| monologue=0.1
19.200000000000003,20.175000000000004,Speech=0.2&Music=0.4
19.6,20.575000000000003,Speech=0.1&Music=0.6
20.0,20.975,Speech=0.1&Music=0.4
20.400000000000002,21.375000000000004,Speech=1.0&Music=0.1
20.8,21.775000000000002,Speech=0.7&Music=0.5
21.200000000000003,22.175000000000004,Speech=0.7&Music=0.7
21.6,22.575000000000003,Speech=0.8&Music=0.5
22.0,22.975,Speech=0.4&Music=0.7
22.400000000000002,23.375000000000004,Speech=0.1&Music=0.8
22.8,23.775000000000002,Speech=0.1&Music=0.6
23.200000000000003,24.175000000000004,Speech=0.4&Music=0.4
23.6,24.575000000000003,Speech=0.6&Music=0.3
24.0,24.975,Speech=0.5&Music=0.1
24.400000000000002,25.375000000000004,Speech=0.1&Music=0.3
24.8,25.775000000000002,Speech=0.5&Music=0.2
25.200000000000003,26.175000000000004,Speech=0.6&Music=0.3
25.6,26.575000000000003,Speech=0.4&Music=0.5
26.0,26.975,Speech=0.6&Music=0.6
26.400000000000002,27.375000000000004,Speech=0.9&Music=0.7
26.8,27.775000000000002,Speech=0.8&Music=0.7
27.200000000000003,28.175000000000004,Speech=0.2&Music=0.1
27.6,28.575000000000003,Speech=0.8&Music=0.4
28.0,28.975,Speech=0.9&Music=0.3
28.400000000000002,29.375000000000004,Speech=0.3&Music=0.2
28.8,29.775000000000002,Speech=0.6&Music=0.4
29.200000000000003,30.175000000000004,Speech=0.8&Music=0.7
29.6,30.575000000000003,Speech=0.4&Music=0.4
30.0,30.975,Speech=0.3&Music=0.4
30.400000000000002,31.375000000000004,Music=0.9
30.8,31.775000000000002,Music=0.9
31.200000000000003,32.175000000000004,Music=1.0
31.6,32.575,Music=1.0
32.0,32.975,Music=1.0
32.4,33.375,Music=1.0&Sad music=0.1
32.800000000000004,33.775000000000006,Music=1.0
33.2,34.175000000000004,Music=1.0
33.6,34.575,Speech=0.8&Music=0.6
34.0,34.975,Speech=0.4&Music=0.7
34.4,35.375,Speech=0.4&Music=0.4
34.800000000000004,35.775000000000006,Speech=0.5&Music=0.2
35.2,36.175000000000004,Speech=0.1&Music=0.6
35.6,36.575,Music=0.7
36.0,36.975,Music=0.8
36.4,37.375,Speech=0.3&Music=0.8
36.800000000000004,37.775000000000006,Music=1.0&Scary music=0.2
37.2,38.175000000000004,Speech=0.6&Music=0.9
37.6,38.575,Speech=0.5&Music=0.8
38.0,38.975,Music=0.7
38.400000000000006,39.37500000000001,Speech=0.4&Music=0.9
38.800000000000004,39.775000000000006,Speech=0.8&Music=0.7
39.2,40.175000000000004,Speech=0.2&Music=0.6
39.6,40.575,Music=0.9&Scary music=0.1
40.0,40.975,Music=1.0&Scary music=0.3
40.400000000000006,41.37500000000001,Speech=0.8&Music=0.5
40.800000000000004,41.775000000000006,Speech=0.7&Music=0.6
41.2,42.175000000000004,Speech=0.9&Music=0.5
41.6,42.575,Music=1.0&Scary music=0.3
42.0,42.975,Speech=0.8&Music=0.7
42.400000000000006,43.37500000000001,Speech=0.9&Music=0.8
42.800000000000004,43.775000000000006,Speech=0.5&Music=0.4
43.2,44.175000000000004,Music=0.9
43.6,44.575,Music=0.9
44.0,44.975,Speech=0.7&Music=0.3
44.400000000000006,45.37500000000001,Speech=0.8&Music=0.2
44.800000000000004,45.775000000000006,Speech=0.8&Music=0.6
45.2,46.175000000000004,Speech=0.5&Music=0.8
45.6,46.575,Speech=0.7&Music=0.6
46.0,46.975,Speech=0.3&Music=0.1
46.400000000000006,47.37500000000001,Speech=0.2&Music=0.5
46.800000000000004,47.775000000000006,Speech=0.3&Music=0.7
47.2,48.175000000000004,Speech=0.4&Music=0.6
47.6,48.575,Speech=0.4&Music=0.7
48.0,48.975,Speech=0.6&Music=0.1
48.400000000000006,49.37500000000001,Speech=0.9&Music=0.7
48.800000000000004,49.775000000000006,Music=0.7&Orchestra=0.1&Bell=0.1&Jingle bell=0.1
49.2,50.175000000000004,Music=0.9&Wind instrument| woodwind instrument=0.1&Flute=0.1
49.6,50.575,Speech=0.5&Music=0.1
50.0,50.975,Vehicle=0.2&Motor vehicle (road)=0.1&Emergency vehicle=0.2&Police car (siren)=0.2&Alarm=0.2&Siren=0.1
50.400000000000006,51.37500000000001,Speech=0.1&Vehicle=0.2&Motor vehicle (road)=0.2&Emergency vehicle=0.4&Police car (siren)=0.2&Ambulance (siren)=0.1&Fire engine| fire truck (siren)=0.1&Alarm=0.2&Siren=0.2
50.800000000000004,51.775000000000006,Speech=0.1&Vehicle=0.1&Motor vehicle (road)=0.1&Emergency vehicle=0.3&Police car (siren)=0.8&Ambulance (siren)=0.1&Alarm=0.2&Siren=0.2
51.2,52.175000000000004,Speech=0.4&Music=0.1
51.6,52.575,Speech=0.8&Music=0.5
52.0,52.975,Speech=0.8&Music=0.7
52.400000000000006,53.37500000000001,Speech=0.8&Music=0.7
52.800000000000004,53.775000000000006,Speech=0.2&Music=0.3
53.2,54.175000000000004,Clip-clop=0.1&Music=0.6
53.6,54.575,Music=1.0
54.0,54.975,Speech=0.4&Music=0.7
54.400000000000006,55.37500000000001,Speech=0.7&Music=0.7
54.800000000000004,55.775000000000006,Speech=0.3&Music=0.8
55.2,56.175000000000004,Speech=0.8&Music=0.8
55.6,56.575,Speech=0.8&Music=0.7
56.0,56.975,Speech=0.8&Music=0.8
56.400000000000006,57.37500000000001,Music=0.8
56.800000000000004,57.775000000000006,Speech=0.2&Music=0.7
57.2,58.175000000000004,Speech=0.6&Music=0.6
57.6,58.575,Music=0.8
58.0,58.975,Music=0.9
58.400000000000006,59.37500000000001,Music=1.0
58.800000000000004,59.775000000000006,Music=1.0
59.2,60.175000000000004,Music=1.0
59.6,60.575,Music=1.0
60.0,60.975,Music=0.9
60.400000000000006,61.37500000000001,Music=1.0
60.800000000000004,61.775000000000006,Music=1.0
61.2,62.175000000000004,Music=0.9
61.6,62.575,Music=1.0
62.0,62.975,Music=1.0
62.400000000000006,63.37500000000001,Music=0.9
62.800000000000004,63.775000000000006,Music=1.0
63.2,64.175,Music=0.9
63.6,64.575,Music=0.9
64.0,64.975,Animal=0.1&Livestock| farm animals| working animals=0.1&Fowl=0.1&Turkey=0.1&Gobble=0.1&Wild animals=0.1&Frog=0.1&Music=0.2&Outside| rural or natural=0.1
64.4,65.375,Music=0.4
64.8,65.77499999999999,Music=0.8
65.2,66.175,Music=1.0
65.60000000000001,66.575,Music=1.0
66.0,66.975,Music=1.0
66.4,67.375,Music=0.9
66.8,67.77499999999999,Music=0.8
67.2,68.175,Vehicle=0.4&Rail transport=0.6&Train=0.6&Train whistle=0.1&Train horn=0.2&Railroad car| train wagon=0.3&Clicking=0.1&Clickety-clack=0.1
67.60000000000001,68.575,Bell=0.1&Vehicle=0.1&Rail transport=0.2&Train=0.2&Railroad car| train wagon=0.2
68.0,68.975,Music=0.8
68.4,69.375,Music=0.4&Ice cream truck| ice cream van=0.1
68.8,69.77499999999999,Music=0.8
69.2,70.175,Music=0.9
69.60000000000001,70.575,Music=1.0
70.0,70.975,Music=0.7
70.4,71.375,Music=0.7
70.8,71.77499999999999,Music=0.8
71.2,72.175,Music=0.5&Liquid=0.1
71.60000000000001,72.575,Music=0.7
72.0,72.975,Music=0.7&Water=0.1&Rain=0.1&Raindrop=0.1&Rain on surface=0.1&Stream=0.1
72.4,73.375,Music=0.4&Rustling leaves=0.1&Water=0.1&Rain=0.1&Rain on surface=0.1
72.8,73.77499999999999,Music=0.8&Water=0.1&Rain=0.2&Raindrop=0.2&Rain on surface=0.2
73.2,74.175,Music=0.9
73.60000000000001,74.575,Music=0.9
74.0,74.975,Music=1.0
74.4,75.375,Hiss=0.1&Music=0.3&Water=0.1&Steam=0.1&Glass=0.1
74.8,75.77499999999999,Hiss=0.1&Music=0.5&Rustling leaves=0.1&Water=0.1
75.2,76.175,Music=0.9
75.60000000000001,76.575,Music=0.9
76.0,76.975,Music=1.0
76.4,77.375,Music=1.0
76.80000000000001,77.775,Music=1.0
77.2,78.175,Music=1.0
77.60000000000001,78.575,Music=1.0
78.0,78.975,Music=0.9
78.4,79.375,Music=0.9
78.80000000000001,79.775,Music=0.3
79.2,80.175,Vehicle=0.2&Motor vehicle (road)=0.1&Bus=0.1&Rail transport=0.1&Train=0.1
79.60000000000001,80.575,Music=0.3
80.0,80.975,Vehicle=0.3&Motor vehicle (road)=0.3&Car=0.3&Car passing by=0.2&Race car| auto racing=0.1&Accelerating| revving| vroom=0.1
80.4,81.375,Vehicle=0.7&Motor vehicle (road)=0.4&Car=0.4&Skidding=0.1&Tire squeal=0.1&Car passing by=0.2&Race car| auto racing=0.1&Truck=0.1&Air brake=0.1&Accelerating| revving| vroom=0.1&Outside| urban or manmade=0.1
80.80000000000001,81.775,Vehicle=0.5&Motor vehicle (road)=0.3&Car=0.3&Car passing by=0.1&Race car| auto racing=0.1&Accelerating| revving| vroom=0.1
81.2,82.175,Music=0.8
81.60000000000001,82.575,Music=0.8
82.0,82.975,Music=0.6
82.4,83.375,Music=0.9
82.80000000000001,83.775,Music=0.9
83.2,84.175,Music=1.0
83.60000000000001,84.575,Music=1.0&Scary music=0.1
84.0,84.975,Music=0.1&Door=0.1&Arrow=0.1&Thump| thud=0.1&Inside| large room or hall=0.1
84.4,85.375,Speech=0.1&Vehicle=0.1&Motor vehicle (road)=0.1&Door=0.3&Sliding door=0.3&Slam=0.2&Arrow=0.1&Thump| thud=0.1&Inside| large room or hall=0.2
84.80000000000001,85.775,Music=0.1&Percussion=0.1&Tools=0.1&Hammer=0.3&Glass=0.1&Chink| clink=0.1&Inside| large room or hall=0.1
85.2,86.175,Speech=0.1&Dishes| pots| and pans=0.1&Tools=0.1&Hammer=0.2&Glass=0.2&Chink| clink=0.1&Inside| small room=0.1&Inside| large room or hall=0.1
85.60000000000001,86.575,Vehicle=0.5&Motor vehicle (road)=0.1&Truck=0.2&Air brake=0.1&Reversing beeps=0.1&Bus=0.1&Engine=0.1&Tools=0.1&Outside| urban or manmade=0.1
86.0,86.975,Vehicle=0.4&Motor vehicle (road)=0.2&Car=0.1&Truck=0.1&Air brake=0.1&Bus=0.1&Outside| urban or manmade=0.1
86.4,87.375,Door=0.2&Sliding door=0.4
86.80000000000001,87.775,Vehicle=0.1&Motor vehicle (road)=0.1&Door=0.1&Slam=0.1&Hammer=0.1&Explosion=0.2&Gunshot| gunfire=0.2&Machine gun=0.1&Fusillade=0.1&Artillery fire=0.1&Burst| pop=0.2&Wood=0.1&Crack=0.1&Glass=0.1&Whack| thwack=0.1&Smash| crash=0.1&Breaking=0.2&Clang=0.1&Sound effect=0.1&Inside| small room=0.1&Outside| urban or manmade=0.1
87.2,88.175,Vehicle=0.2&Motor vehicle (road)=0.1&Car=0.1&Bus=0.1&Door=0.1&Sliding door=0.1
87.60000000000001,88.575,Music=0.2&Door=0.1&Sliding door=0.1&Boom=0.1&Thump| thud=0.1&Inside| large room or hall=0.1
88.0,88.975,Music=0.2&Boom=0.1
88.4,89.375,Music=0.7
88.80000000000001,89.775,Music=0.3
89.2,90.175,Music=0.4&Vehicle=0.1
89.60000000000001,90.575,Music=0.4
90.0,90.975,Music=0.1&Explosion=0.2&Gunshot| gunfire=0.1&Artillery fire=0.1&Eruption=0.1&Boom=0.1
90.4,91.375,Speech=0.1&Explosion=0.4&Gunshot| gunfire=0.2&Fusillade=0.2&Artillery fire=0.2&Burst| pop=0.1&Eruption=0.1&Boom=0.2&Arrow=0.1&Inside| large room or hall=0.1
90.80000000000001,91.775,Fire=0.1&Crackle=0.1&Vehicle=0.1&Explosion=0.1&Eruption=0.1&Boom=0.1&Outside| urban or manmade=0.1&Outside| rural or natural=0.1
91.2,92.175,Fire=0.1&Crackle=0.1&Explosion=0.3&Gunshot| gunfire=0.1&Fusillade=0.2
91.60000000000001,92.575,Music=0.1&Explosion=0.2&Gunshot| gunfire=0.2&Fusillade=0.1&Boom=0.1
92.0,92.975,Music=0.4
92.4,93.375,Music=0.4&Explosion=0.1&Boom=0.1
92.80000000000001,93.775,Speech=0.3&Music=0.6
93.2,94.175,Speech=0.1&Music=0.6
93.60000000000001,94.575,Speech=0.4&Music=0.6
94.0,94.975,Speech=0.9&Music=0.5
94.4,95.375,Speech=0.8&Music=0.1
94.80000000000001,95.775,Speech=0.8&Music=0.5
95.2,96.175,Speech=0.7&Music=0.2
95.60000000000001,96.575,Speech=0.8&Music=0.1
96.0,96.975,Music=0.8&Musical instrument=0.1&Percussion=0.1&Drum=0.1&Timpani=0.1
96.4,97.375,Music=0.8
96.80000000000001,97.775,Music=1.0&Scary music=0.1
97.2,98.175,Music=0.8
97.60000000000001,98.575,Speech=0.6
98.0,98.975,Speech=0.7
98.4,99.375,Speech=0.5&Music=0.1&Tools=0.1
98.80000000000001,99.775,Speech=0.9&Music=0.1
99.2,100.175,Speech=1.0&Music=0.1
99.60000000000001,100.575,Speech=0.7&Music=0.4
100.0,100.975,Music=0.8&Rock and roll=0.1
100.4,101.375,Speech=0.9&Music=0.6
100.80000000000001,101.775,Speech=0.3&Music=0.2
101.2,102.175,Speech=0.8
101.60000000000001,102.575,Vehicle=0.8&Motor vehicle (road)=0.3&Car=0.2&Truck=0.1&Outside| urban or manmade=0.1
102.0,102.975,Vehicle=0.5&Motor vehicle (road)=0.2&Car=0.2&Bus=0.1
102.4,103.375,Music=0.1&Vehicle=0.2&Motor vehicle (road)=0.1&Car=0.1
102.80000000000001,103.775,Music=0.6
103.2,104.175,Music=0.1&Vehicle=0.4&Motor vehicle (road)=0.1&Car=0.1&Truck=0.1&Bus=0.2
103.60000000000001,104.575,Vehicle=0.4&Motor vehicle (road)=0.1&Car=0.1&Truck=0.1&Bus=0.1&Traffic noise| roadway noise=0.1&Outside| urban or manmade=0.1
104.0,104.975,Vehicle=0.3&Bus=0.2&Rail transport=0.2&Train=0.2&Railroad car| train wagon=0.2&Subway| metro| underground=0.1&Sliding door=0.1&Clickety-clack=0.1
104.4,105.375,Vehicle=0.3&Motor vehicle (road)=0.1&Car=0.1&Truck=0.1&Air brake=0.1&Bus=0.1&Door=0.1&Sliding door=0.1&Microwave oven=0.1&Mechanisms=0.1&Outside| urban or manmade=0.1
104.80000000000001,105.775,Vehicle=0.4&Motor vehicle (road)=0.1&Car=0.1&Truck=0.1&Air brake=0.1&Bus=0.1
105.2,106.175,Vehicle=0.5&Motor vehicle (road)=0.2&Car=0.1&Truck=0.1&Bus=0.3&Outside| urban or manmade=0.1
105.60000000000001,106.575,Vehicle=0.5&Boat| Water vehicle=0.1&Motorboat| speedboat=0.1&Motor vehicle (road)=0.1&Car=0.1
106.0,106.975,Music=0.1&Vehicle=0.1&Boat| Water vehicle=0.1
106.4,107.375,Music=0.2&Aircraft=0.1
106.80000000000001,107.775,Music=0.9
107.2,108.175,Music=0.8&Percussion=0.1
107.60000000000001,108.575,Music=0.9
108.0,108.975,Speech=0.4&Music=0.2
108.4,109.375,Speech=1.0
108.80000000000001,109.775,Speech=1.0&Music=0.1
109.2,110.175,Speech=1.0&Music=0.5
109.60000000000001,110.575,Speech=1.0&Music=0.1
110.0,110.975,Speech=1.0&Music=0.1
110.4,111.375,Speech=1.0&Music=0.5
110.80000000000001,111.775,Music=0.9
111.2,112.175,Speech=0.9&Music=0.3
111.60000000000001,112.575,Speech=0.8&Narration| monologue=0.2&Music=0.1
112.0,112.975,Speech=1.0&Narration| monologue=0.1
112.4,113.375,Speech=0.8&Music=0.3
112.80000000000001,113.775,Speech=1.0
113.2,114.175,Speech=1.0
113.60000000000001,114.575,Speech=1.0
114.0,114.975,Speech=0.3&Music=0.3
114.4,115.375,Speech=0.9&Music=0.1
114.80000000000001,115.775,Speech=0.9
115.2,116.175,Speech=1.0
115.60000000000001,116.575,Speech=0.9
116.0,116.975,Speech=1.0
116.4,117.375,Speech=1.0
116.80000000000001,117.775,Speech=0.9&Music=0.4
117.2,118.175,Music=0.9
117.60000000000001,118.575,Music=0.8&Musical instrument=0.1&Plucked string instrument=0.1&Guitar=0.1
118.0,118.975,Music=0.7&Musical instrument=0.1&Bowed string instrument=0.1&Violin| fiddle=0.1&Pizzicato=0.1
118.4,119.375,Music=0.8
118.80000000000001,119.775,Music=0.9
119.2,120.175,Music=1.0
119.60000000000001,120.575,Music=1.0
120.0,120.975,Music=0.9
120.4,121.375,Music=0.9
120.80000000000001,121.775,Music=0.9&Musical instrument=0.1&Plucked string instrument=0.1&Guitar=0.1
121.2,122.175,Music=1.0
121.60000000000001,122.575,Music=1.0
122.0,122.975,Music=1.0
122.4,123.375,Music=1.0
122.80000000000001,123.775,Music=1.0
123.2,124.175,Music=1.0
123.60000000000001,124.575,Music=1.0
124.0,124.975,Music=0.9
